lambda,policy_key,base_policy,capacity,p99_latency_ms,avg_latency_ms,throughput_req_s,avg_quality
3.666666666666667e-05,smart_c4,smart,4,106904.00142847087,56294.315067159594,0.036222222222222225,31.279577738444008
3.666666666666667e-05,sjf_c1,sjf,1,343838.1363653524,51702.8817862984,0.035333333333333335,30.862304661588844
3.666666666666667e-05,sjf_c2,sjf,2,54715.58204062469,19614.500967224474,0.033555555555555554,30.779495016102228
3.666666666666667e-05,sjf_c4,sjf,4,53080.938811302185,16739.765329710426,0.035333333333333335,30.78857375858714
4.1111111111111116e-05,high_c1,high,1,2914118.0183971846,1625910.9927940494,0.01911111111111111,31.279577738444008
4.1111111111111116e-05,high_c2,high,2,357707.79099177814,183763.6525192392,0.036444444444444446,31.27957773844401
4.1111111111111116e-05,high_c4,high,4,82592.83034666681,54116.50809622892,0.03866666666666667,31.279577738444008
4.1111111111111116e-05,fast_c1,fast,1,178646.6961316339,75719.97944826732,0.04044444444444444,31.307256380716957
4.1111111111111116e-05,fast_c2,fast,2,47436.925864615776,25072.979487750737,0.042444444444444444,31.307256380716957
4.1111111111111116e-05,fast_c4,fast,4,29268.27720179465,22143.566782911348,0.042,31.30725638071696
4.1111111111111116e-05,smart_c1,smart,1,342363.8490152027,231885.96830174577,0.03711111111111111,31.303775832886224
4.1111111111111116e-05,smart_c2,smart,2,207695.7743728768,128962.22718048048,0.043555555555555556,31.287344704387948
4.1111111111111116e-05,smart_c4,smart,4,98433.582992734,57522.11192623822,0.042888888888888886,31.27957773844401
4.1111111111111116e-05,sjf_c1,sjf,1,255394.99528700585,45969.118605794574,0.043555555555555556,30.809392852718332
4.1111111111111116e-05,sjf_c2,sjf,2,77689.15777883722,24713.136137826023,0.036,30.86986108497337
4.1111111111111116e-05,sjf_c4,sjf,4,53136.77638053891,19363.678266853476,0.03888888888888889,30.799338000415617
4.555555555555556e-05,high_c1,high,1,2851565.078128801,1626886.1292950078,0.01911111111111111,31.279577738444008
4.555555555555556e-05,high_c2,high,2,548740.0301012889,192881.80600054766,0.036,31.27957773844401
4.555555555555556e-05,high_c4,high,4,129134.09207100933,58127.357265639905,0.04466666666666667,31.27957773844401
4.555555555555556e-05,fast_c1,fast,1,433087.5390453281,285735.33958980656,0.04488888888888889,31.307256380716964
4.555555555555556e-05,fast_c2,fast,2,74337.17019181249,28657.16807922509,0.042444444444444444,31.307256380716957
4.555555555555556e-05,fast_c4,fast,4,30644.47106939534,22227.70552645155,0.04822222222222222,31.307256380716964
4.555555555555556e-05,smart_c1,smart,1,688248.9589335766,417003.64591995906,0.042666666666666665,31.307256380716964
4.555555555555556e-05,smart_c2,smart,2,200649.32293473242,124258.33440791149,0.042222222222222223,31.287007268738325
4.555555555555556e-05,smart_c4,smart,4,99354.65574123457,57994.38880621909,0.044,31.279577738444008
4.555555555555556e-05,sjf_c1,sjf,1,438249.302625246,53097.29047820874,0.041555555555555554,30.772960149727613
4.555555555555556e-05,sjf_c2,sjf,2,78878.74887044558,22176.64966790437,0.04822222222222222,30.810724936747523
